fwhm_base,ecc_base,accuracy,balanced_accuracy,macro_f1
18.0,0.42,0.47,0.47,0.4608890245142916
18.0,0.45,0.47,0.47,0.4608890245142916
18.0,0.48,0.47,0.47,0.4608890245142916
18.0,0.5,0.47,0.47,0.4608890245142916
20.0,0.48,0.47,0.47,0.4608890245142916
20.0,0.5,0.47,0.47,0.4608890245142916
18.0,0.4,0.46,0.45999999999999996,0.45211038961038963
20.0,0.4,0.46,0.45999999999999996,0.45211038961038963
20.0,0.42,0.46,0.45999999999999996,0.45211038961038963
20.0,0.45,0.46,0.45999999999999996,0.45211038961038963
22.0,0.4,0.46,0.45999999999999996,0.45211038961038963
22.0,0.42,0.46,0.45999999999999996,0.45211038961038963
22.0,0.45,0.46,0.45999999999999996,0.45211038961038963
22.0,0.48,0.46,0.45999999999999996,0.45211038961038963
22.0,0.5,0.46,0.45999999999999996,0.45211038961038963
25.0,0.4,0.46,0.45999999999999996,0.45211038961038963
25.0,0.42,0.46,0.45999999999999996,0.45211038961038963
25.0,0.45,0.46,0.45999999999999996,0.45211038961038963
25.0,0.48,0.46,0.45999999999999996,0.45211038961038963
25.0,0.5,0.46,0.45999999999999996,0.45211038961038963
28.0,0.4,0.46,0.45999999999999996,0.45211038961038963
28.0,0.42,0.46,0.45999999999999996,0.45211038961038963
28.0,0.45,0.46,0.45999999999999996,0.45211038961038963
28.0,0.48,0.46,0.45999999999999996,0.45211038961038963
28.0,0.5,0.46,0.45999999999999996,0.45211038961038963
30.0,0.4,0.46,0.45999999999999996,0.45211038961038963
30.0,0.42,0.46,0.45999999999999996,0.45211038961038963
30.0,0.45,0.46,0.45999999999999996,0.45211038961038963
30.0,0.48,0.46,0.45999999999999996,0.45211038961038963
30.0,0.5,0.46,0.45999999999999996,0.45211038961038963
15.0,0.42,0.44,0.43999999999999995,0.4288045695634435
15.0,0.4,0.43,0.43000000000000005,0.4202014037229173
15.0,0.45,0.43,0.43,0.4168797953964194
15.0,0.48,0.43,0.43,0.4168797953964194
15.0,0.5,0.43,0.43,0.4168797953964194
