image_name,true_class,cnn_predicted_class,cnn_confidence_pct,filter_top_class,filter_top_score_pct,is_matched,agreement_status,score_01_Good_pct,passed_01_Good,score_02_Out_of_Focus_pct,passed_02_Out_of_Focus,score_03_Tracking_Error_pct,passed_03_Tracking_Error,score_04_Over_Saturated_pct,passed_04_Over_Saturated,score_05_No_Star_pct,passed_05_No_Star,score_06_Satellite_pct,passed_06_Satellite
260504UA1N_1_1.png,01_Good,01_Good,78.19,01_Good,81.58,True,STRONG_MATCH,81.58,True,0.0,False,31.45,False,4.5,False,5.74,False,3.39,False
260504XO6E_1_2.png,01_Good,01_Good,89.44,01_Good,73.64,True,STRONG_MATCH,73.64,True,0.0,False,13.57,False,4.75,False,2.37,False,22.53,False
260505C86N_1_1.png,01_Good,01_Good,51.21,01_Good,62.49,True,STRONG_MATCH,62.49,True,0.0,False,29.76,False,6.95,False,0.0,False,22.13,False
260505GOYV_1_2.png,01_Good,01_Good,54.16,01_Good,57.56,True,STRONG_MATCH,57.56,True,0.0,False,5.0,False,9.69,False,14.62,False,21.63,False
260505HYM1_1_1.png,01_Good,02_Out_of_Focus,57.66,01_Good,54.8,False,MISMATCH,54.8,True,0.0,False,5.0,False,7.18,False,26.64,False,22.08,False
260505J2WH_1_2.png,01_Good,01_Good,92.86,01_Good,78.04,True,STRONG_MATCH,78.04,True,0.0,False,28.16,False,6.04,False,3.45,False,22.29,False
260505KSCR_1_2.png,01_Good,01_Good,93.26,01_Good,71.62,True,STRONG_MATCH,71.62,True,0.0,False,29.86,False,6.34,False,5.48,False,22.24,False
260505NMQQ_1_1.png,01_Good,01_Good,85.08,01_Good,50.21,True,STRONG_MATCH,50.21,True,0.0,False,37.42,False,4.89,False,12.86,False,28.2,False
260505NMQQ_1_2.png,01_Good,01_Good,93.71,01_Good,44.0,True,WEAK_MATCH,44.0,False,0.0,False,19.8,False,0.0,False,3.56,False,30.44,False
260505VPIS_1_2.png,01_Good,01_Good,68.33,01_Good,58.39,True,STRONG_MATCH,58.39,True,0.0,False,0.0,False,6.45,False,15.28,False,22.22,False
260505YLLO_1_2.png,01_Good,05_No_Star,74.25,05_No_Star,66.8,True,STRONG_MATCH,64.72,True,2.0,False,5.0,False,8.01,False,66.8,True,21.93,False
260505Z6QP_1_1.png,01_Good,02_Out_of_Focus,64.42,01_Good,66.66,False,MISMATCH,66.66,True,0.0,False,16.54,False,5.28,False,13.08,False,22.43,False
260506EJKW_1_1.png,01_Good,01_Good,50.93,01_Good,66.67,True,STRONG_MATCH,66.67,True,0.0,False,25.17,False,5.18,False,14.45,False,22.45,False
260506JODA_1_1.png,01_Good,05_No_Star,60.95,01_Good,77.84,False,MISMATCH,77.84,True,0.0,False,9.83,False,6.87,False,5.74,False,22.14,False
260506M34T_1_2.png,01_Good,01_Good,82.54,01_Good,62.54,True,STRONG_MATCH,62.54,True,0.0,False,17.54,False,16.34,False,0.0,False,22.46,False
260506RU2Q_1_2.png,01_Good,01_Good,93.12,01_Good,79.17,True,STRONG_MATCH,79.17,True,0.0,False,32.59,False,7.19,False,1.93,False,22.08,False
260506VDXY_1_2.png,01_Good,01_Good,88.94,01_Good,59.32,True,STRONG_MATCH,59.32,True,0.0,False,41.74,False,14.41,False,0.0,False,23.87,False
260506Z0E8_1_1.png,01_Good,02_Out_of_Focus,35.7,06_Satellite,47.61,False,MISMATCH,0.99,False,0.0,False,5.0,False,9.35,False,46.72,False,47.61,False
260506ZT35_1_2.png,01_Good,01_Good,74.25,01_Good,47.07,True,WEAK_MATCH,47.07,False,21.29,False,5.0,False,12.32,False,0.0,False,22.58,False
260507FI1X_1_3.png,01_Good,01_Good,83.87,03_Tracking_Error,55.58,False,MISMATCH,46.54,False,0.0,False,55.58,True,15.95,False,0.0,False,22.58,False
260507P0S8_1.png,01_Good,02_Out_of_Focus,76.98,02_Out_of_Focus,49.86,True,WEAK_MATCH,10.0,False,49.86,False,8.0,False,8.11,False,15.0,False,26.97,False
260507S40B_1_1.png,01_Good,01_Good,73.95,01_Good,63.29,True,STRONG_MATCH,63.29,True,0.0,False,3.05,False,11.39,False,0.0,False,22.44,False
