image_name,image_path,true_class,cnn_predicted_class,cnn_confidence_pct,cnn_is_correct,filter_top_class,filter_top_score_pct,filter_is_correct,agreement_status,is_matched,both_correct,score_01_Good_pct,passed_01_Good,score_02_Out_of_Focus_pct,passed_02_Out_of_Focus,score_03_Tracking_Error_pct,passed_03_Tracking_Error,score_04_Over_Saturated_pct,passed_04_Over_Saturated,score_05_No_Star_pct,passed_05_No_Star,score_06_Satellite_pct,passed_06_Satellite,feat_fwhm_median,feat_eccentricity_median,feat_star_count,feat_mean_circularity,feat_mean_aspect_ratio,feat_mean_hollowness,feat_saturated_ratio_pct,feat_streak_count,feat_long_line_count,feat_mean_intensity
260504UA1N_1_1.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260504UA1N_1_1.png,01_Good,01_Good,78.19,TRUE,03_Tracking_Error,66.88,FALSE,MISMATCH,FALSE,FALSE,42.8,FALSE,5.17,FALSE,66.88,TRUE,4.97,FALSE,32.65,FALSE,29.05,FALSE,15.34,0.422,11,0.795,1.28,0,2.006,0,1213,123.09
260504XO6E_1_2.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260504XO6E_1_2.png,01_Good,01_Good,89.44,TRUE,01_Good,57.99,TRUE,STRONG_MATCH,TRUE,TRUE,57.99,TRUE,9.47,FALSE,53.5,TRUE,0.95,FALSE,22.45,FALSE,29.01,FALSE,18.96,0.359,62,0.787,1.15,0.0008,2.034,0,1228,118.47
260505C86N_1_1.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505C86N_1_1.png,01_Good,01_Good,51.21,TRUE,03_Tracking_Error,58.14,FALSE,MISMATCH,FALSE,FALSE,43.4,FALSE,13.58,FALSE,58.14,TRUE,0,FALSE,22.45,FALSE,28.65,FALSE,23.43,0.352,75,0.752,1.23,0.003,2.282,0,1234,117.47
260505GOYV_1_2.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505GOYV_1_2.png,01_Good,01_Good,54.16,TRUE,03_Tracking_Error,58.58,FALSE,MISMATCH,FALSE,FALSE,34.31,FALSE,12.04,FALSE,58.58,TRUE,0,FALSE,55.61,TRUE,28.2,FALSE,23.93,0.373,6,0.801,1.18,0,2.59,0,1208,123.82
260505HYM1_1_1.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505HYM1_1_1.png,01_Good,02_Out_of_Focus,57.66,FALSE,05_No_Star,73.47,FALSE,MISMATCH,FALSE,FALSE,5,FALSE,8.11,FALSE,68.5,TRUE,2.11,FALSE,73.47,TRUE,28.8,FALSE,17.68,0.327,1,0.767,1.5,0,2.308,0,1231,124.58
260505J2WH_1_2.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505J2WH_1_2.png,01_Good,01_Good,92.86,TRUE,01_Good,57.57,TRUE,STRONG_MATCH,TRUE,TRUE,57.57,TRUE,7.5,FALSE,51.7,TRUE,1.96,FALSE,22.45,FALSE,30.22,FALSE,17.85,0.343,51,0.804,1.15,0,2.18,0,1241,118.76
260505KSCR_1_2.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505KSCR_1_2.png,01_Good,01_Good,93.26,TRUE,01_Good,53.33,TRUE,STRONG_MATCH,TRUE,TRUE,53.33,TRUE,13.62,FALSE,45.03,FALSE,0,FALSE,22.45,FALSE,28.75,FALSE,21.56,0.407,20,0.801,1.16,0.0067,2.214,0,1269,112.68
260505NMQQ_1_1.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505NMQQ_1_1.png,01_Good,01_Good,85.08,TRUE,01_Good,57.45,TRUE,STRONG_MATCH,TRUE,TRUE,57.45,TRUE,21.6,FALSE,21.26,FALSE,1.52,FALSE,22.45,FALSE,36.33,FALSE,18.33,0.344,29,0.802,1.1,0.0133,2.05,0,1313,97.88
260505NMQQ_1_2.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505NMQQ_1_2.png,01_Good,01_Good,93.71,TRUE,01_Good,68.4,TRUE,STRONG_MATCH,TRUE,TRUE,68.4,TRUE,46.22,FALSE,5.47,FALSE,2.4,FALSE,22.45,FALSE,39.67,FALSE,17.35,0.328,41,0.789,1.11,0.0104,0,0,1351,65.42
260505VPIS_1_2.png,D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505VPIS_1_2.png,01_Good,01_Good,68.33,TRUE,01_Good,49.55,TRUE,WEAK_MATCH,TRUE,TRUE,49.55,FALSE,16.3,FALSE,35.5,FALSE,0,FALSE,22.45,FALSE,30.26,FALSE,22.86,0.306,15,0.775,1.12,0,2.226,0,1244,111.81
